T	ni_	nj_	nk_	size_	is_	ie_	js_	je_	ks_	ke_	nvars_	mem_size_	mem_type_	pre_step_type_	step_type_	post_step_type_	ncells_	flops_per_cell_	arith_intensity_	nsteps_	ndims_	elapsed_times_[0]	
float	64	64	64	262144	0	63	0	63	0	63	5	5242880	kMalloc	kNone	kNaive	kNone	262144	15	0.46875	5	1	0.000406944	
double	64	64	64	262144	0	63	0	63	0	63	5	10485760	kMalloc	kNone	kNaive	kNone	262144	15	0.234375	5	1	0.000753184	
float	64	64	64	262144	0	63	0	63	0	63	5	5242880	kMalloc	kNone	k1D	kNone	262144	15	0.46875	5	1	0.000414016	
double	64	64	64	262144	0	63	0	63	0	63	5	10485760	kMalloc	kNone	k1D	kNone	262144	15	0.234375	5	1	0.00074768	
float	64	64	64	262144	0	63	0	63	0	63	5	5242880	kPinned	kNone	kNaive	kNone	262144	15	0.46875	5	1	0.000404448	
double	64	64	64	262144	0	63	0	63	0	63	5	10485760	kPinned	kNone	kNaive	kNone	262144	15	0.234375	5	1	0.000736064	
float	64	64	64	262144	0	63	0	63	0	63	5	5242880	kPinned	kNone	k1D	kNone	262144	15	0.46875	5	1	0.000411584	
double	64	64	64	262144	0	63	0	63	0	63	5	10485760	kPinned	kNone	k1D	kNone	262144	15	0.234375	5	1	0.0007376	
float	64	64	64	262144	0	63	0	63	0	63	5	5242880	kUVM	kNone	kNaive	kNone	262144	15	0.46875	5	1	0.000424704	
double	64	64	64	262144	0	63	0	63	0	63	5	10485760	kUVM	kNone	kNaive	kNone	262144	15	0.234375	5	1	0.000761504	
float	64	64	64	262144	0	63	0	63	0	63	5	5242880	kUVM	kNone	k1D	kNone	262144	15	0.46875	5	1	0.000431328	
double	64	64	64	262144	0	63	0	63	0	63	5	10485760	kUVM	kNone	k1D	kNone	262144	15	0.234375	5	1	0.000759552	
float	64	64	64	262144	0	63	0	63	0	63	5	5242880	kMalloc	kNone	kNaive	kNone	262144	15	0.46875	5	1	0.000425824	
double	64	64	64	262144	0	63	0	63	0	63	5	10485760	kMalloc	kNone	kNaive	kNone	262144	15	0.234375	5	1	0.000771872	
float	64	64	64	262144	0	63	0	63	0	63	5	5242880	kMalloc	kNone	k1D	kNone	262144	15	0.46875	5	1	0.000436352	
double	64	64	64	262144	0	63	0	63	0	63	5	10485760	kMalloc	kNone	k1D	kNone	262144	15	0.234375	5	1	0.000753088	
float	64	64	64	262144	0	63	0	63	0	63	5	5242880	kPinned	kNone	kNaive	kNone	262144	15	0.46875	5	1	0.00042752	
double	64	64	64	262144	0	63	0	63	0	63	5	10485760	kPinned	kNone	kNaive	kNone	262144	15	0.234375	5	1	0.00075856	
float	64	64	64	262144	0	63	0	63	0	63	5	5242880	kPinned	kNone	k1D	kNone	262144	15	0.46875	5	1	0.000437728	
double	64	64	64	262144	0	63	0	63	0	63	5	10485760	kPinned	kNone	k1D	kNone	262144	15	0.234375	5	1	0.000752416	
float	64	64	64	262144	0	63	0	63	0	63	5	5242880	kUVM	kNone	kNaive	kNone	262144	15	0.46875	5	1	0.000430592	
double	64	64	64	262144	0	63	0	63	0	63	5	10485760	kUVM	kNone	kNaive	kNone	262144	15	0.234375	5	1	0.000753472	
float	64	64	64	262144	0	63	0	63	0	63	5	5242880	kUVM	kNone	k1D	kNone	262144	15	0.46875	5	1	0.000434976	
double	64	64	64	262144	0	63	0	63	0	63	5	10485760	kUVM	kNone	k1D	kNone	262144	15	0.234375	5	1	0.00075632	
float	64	64	64	262144	0	63	0	63	0	63	5	5242880	kMalloc	kNone	kNaive	kNone	262144	15	0.46875	5	1	0.000436544	
double	64	64	64	262144	0	63	0	63	0	63	5	10485760	kMalloc	kNone	kNaive	kNone	262144	15	0.234375	5	1	0.000765184	
float	64	64	64	262144	0	63	0	63	0	63	5	5242880	kMalloc	kNone	k1D	kNone	262144	15	0.46875	5	1	0.000450432	
double	64	64	64	262144	0	63	0	63	0	63	5	10485760	kMalloc	kNone	k1D	kNone	262144	15	0.234375	5	1	0.000755296	
float	64	64	64	262144	0	63	0	63	0	63	5	5242880	kPinned	kNone	kNaive	kNone	262144	15	0.46875	5	1	0.00043408	
double	64	64	64	262144	0	63	0	63	0	63	5	10485760	kPinned	kNone	kNaive	kNone	262144	15	0.234375	5	1	0.000756064	
float	64	64	64	262144	0	63	0	63	0	63	5	5242880	kPinned	kNone	k1D	kNone	262144	15	0.46875	5	1	0.000448768	
double	64	64	64	262144	0	63	0	63	0	63	5	10485760	kPinned	kNone	k1D	kNone	262144	15	0.234375	5	1	0.000750784	
float	64	64	64	262144	0	63	0	63	0	63	5	5242880	kUVM	kNone	kNaive	kNone	262144	15	0.46875	5	1	0.000435488	
double	64	64	64	262144	0	63	0	63	0	63	5	10485760	kUVM	kNone	kNaive	kNone	262144	15	0.234375	5	1	0.000755232	
float	64	64	64	262144	0	63	0	63	0	63	5	5242880	kUVM	kNone	k1D	kNone	262144	15	0.46875	5	1	0.000447648	
double	64	64	64	262144	0	63	0	63	0	63	5	10485760	kUVM	kNone	k1D	kNone	262144	15	0.234375	5	1	0.00075456	
