T	Layout	IType	ItOuter	ItInner	ni_	nj_	nk_	size_	is_	ie_	js_	je_	ks_	ke_	tiling_[0]	tiling_[1]	tiling_[2]	vector_length_	nvars_	pre_step_type_	step_type_	post_step_type_	ncells_	flops_per_cell_	arith_intensity_	nsteps_	ndims_	elapsed_times_[0]	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00613572	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00604427	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00612778	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00613133	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00605489	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00612736	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0061252	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00605482	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00616046	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0333413	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0334294	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.033401	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0333975	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0333401	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0334074	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0333368	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0334726	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0333711	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0079666	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0056672	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.00795825	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.00796831	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.00566759	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.00795325	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.00791327	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.00565989	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.00799595	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0389346	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0363421	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0388908	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0388859	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0363723	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0390034	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0389231	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0363476	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.03891	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00785535	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00764057	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00784955	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00786982	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00763856	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00785669	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0078484	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00764629	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00785125	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0253816	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0253517	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.025477	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0256098	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0254097	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0254895	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0256551	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0254172	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0255089	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.0131802	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	512	2	1	0	5	kNone	kMDRange	kNone	266240	15	0.234375	5	1	0.00860155	
